id,GroupName,Prefectures,PostalCode,Address,TelephoneNumber,Email,HomePage,Philosophy,Product,Deadline,Condition,Offer,NorthLa-EastLon
1,特定非営利活動法人 札幌市福祉生活支援センター（フー ドバンク札幌）,北海道,001-0023,北海道札幌市北区北 21 条西 3 丁目 1 番 12 号,011-726-2829,npo@fukushi-life.or.jp,http://www.fukushi-life.or.jp,「“もったいない”の心が生きる助け合い」をモットーに、フードバンク活動を通じて地域の「セーフティーネット」を構築いたします。,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物など,1,賞味期限が１週間以内であっても、賞味期限までの日数が残っているもの,児童養護施設、母子生活支援施設、シェルター、自立援助ホーム、障害者施設、生活困窮者支援団体、個人支援、炊き出し、老人施設、グループホーム、災害支援団体、学校 外学習生活支援団体、子ども食堂等,"[43.061936, 141.3542924]"
2,生活協同組合コープさっぽろ,北海道,063-8501,北海道札幌市西区発寒 11 条 5 丁目 10－1,011-671-6620 ,ak.suzuki@todock.jp,http://www.sapporo.coop,つなぐ,加工食品（常温）、加工食品（冷凍）,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、学校外学習生活支援団体,"[43.061936, 141.3542924]"
3,特定非営利活動法人 ハンズハーベスト北海道,北海道,064-0924,北海道札幌市中央区南 24 条西 15 丁目 1 番 6 号,090-8371-3636,qqnw8tc9k@beetle.ocn.ne.jp,https://ja-jp.facebook.com/hannzuhabesuto/,余剰食品を無償で提供していただき、それを必要としている団体や個人に無償で提供することにより、環境問題と福祉問題に貢献することを目的とする。,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物、水産物・畜産物など,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、母子生活支援施設、自立援助ホーム、更生支援施設、障害者施設、生活困窮者支援団体、個人支援、炊き出し、グループホーム、災害支援団体、学校外学習生 活支援団体、子ども食堂等,"[43.061936, 141.3542924]"
4,特定非営利活動法人ピーシーズ,北海道,070-0038,北海道旭川市 8 条通 8 丁目 41 番地の 9,0166-76-1994,pcs@snow.plala.or.jp,http://www.piece-s.xyz,一人はみんなの為に、みんなは一人の為に。,加工食品（常温）、農産物など,30,賞味期限が１ヶ月以上残っているもの,障害者施設、個人支援,"[43.4519831, 142.8197834]"
5,特定非営利活動法人 フードバンク イコロさっぽろ,北海道,065-0022,北海道札幌市東区北 22 条東 18 丁目 3 番 5 号,090-2815-3947,ikor.sapporo@gmail.com,foodbank-ikorsapporo.themedia.jp,食品ロス削減と食のセーフティネットの構築。,加工食品（常温）、農産物、卵,1,賞味期限が１週間以内であっても、賞味期限までの日数が残っているもの,自立援助ホーム、更生支援施設、障害者施設、個人支援、炊き出し、老人施設、学校外学習生活支援団体、子ども食堂等,"[43.061936, 141.3542924]"
6,フードバンクいぶり,北海道,052-0011,北海道室蘭市中央町 3－5－13 SK 室蘭中央ビル 6F,0143-83-7355,kiuchi_iburi@next2001.net,https://foodbank-iburi.net/,・緊急状態に置かれた方への迅速対応。・食材を相談支援業務への活用。・子ども食堂・地域食堂との連携による地 域ネットワーク創り。,加工食品（常温）、農産物など,1,賞味期限が１週間以内であっても、賞味期限までの日数が残っているもの,生活困窮者支援団体、個人支援、炊き出し、グループホー ム、災害支援団体、子ども食堂等,"[42.348623, 141.039154]"
7,フードバンク道南協議会,北海道,050-0003,北海道函館市松陰町 27 番 14 号,080-1897-8749,koureikyouakane@onyx.ocn.ne.jp,http://foodbank.girly.jp/,社会的支援を必要とする人たちに食事提供している非営利団体へ食品を届ける。,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物、水産物・畜産物など,1,賞味期限が１週間以内であっても、賞味期限までの日数が残っているもの,児童養護施設、シェルター、自立援助ホーム、障害者施設、生活困窮者支援団体、子ども食堂,"[41.768793, 140.729008]"
8,フードバンクネットワーク もったいないわ・千歳,北海道,066-0037,北海道千歳市新富 1－19－9,090-2818-8253,mottainaiwa@gmail.com,https://www.facebook.com/mottainaiwa.chitose/,もったいないをありがとうへ,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物など,14,賞味期限が 2 週間以上残っているものなど,自立援助ホーム、障害者施設、生活困窮者支援団体、個人支援、炊き出し、老人施設、グループホーム、学校外学習生活支援団体、子ども食堂等,"[42.8209335, 141.6509612]"
9,特定非営利活動法人 ワーカーズコープぽっけ（フードバ ンクとまこまい）,北海道,053-0802,北海道苫小牧市弥生町 3－1 ななかまど 12,0144-84-3856,Pokke@roukyou.gr.jp,https://pokke.roukyou.gr.jp/,１．食品ロス削減、２．貧困支援、３．困窮者支援、４．多様な人の働く場。,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物、水産物・畜産物など,60,賞味期限が２ヶ月以上残っているもの,児童養護施設、母子生活支援施設、シェルター、自立援助ホーム、更生支援施設、生活困窮者支援団体、個人支援、炊き出し、災害支援団体、学校外学習生活支援団体、子ども食堂等,"[42.6340602, 141.6055453]"
10,特定非営利活動法人フードバンク岩手,岩手県,020-0887,岩手県盛岡市上ノ橋町 1－50 岩繊ビル 3－7,019-654-3545,foodbankiwate@gmail.com,http://foodbankiwate.org,この法人は、フードバンク事業・困窮者支援事業・就労継続、就労移行支援事業・社会参加促進事業などを行うことで、社会的孤立や貧困、障害、病、災害、差別、環境などで困難な生活や将来に大きな不安を抱く人たちが、自らの自発的な意志と選択により、居場場や役割を享受でき、多様で、幸福と感じられる生活と社会的包摂の実現に寄与し、すべての人が健康で文化的な生活を営める社会の創造を目的とする。,加工食品（常温）、農産物,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、母子生活支援施設、シェルター、自立援助ホーム、更生支援施設、障害者施設、生活困窮者支援団体、個人支援、グループホーム、災害支援団体、学校外学習生活支援団体、子ども食堂等,"[39.7021331, 141.1545397]"
