PostalCode,Prefectures,Address
600000,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640941,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600041,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600042,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640820,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600031,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600001,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640821,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600032,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600002,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640822,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600033,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600003,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640823,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600034,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600004,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640824,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600035,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600005,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640825,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600006,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640826,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600007,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600008,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600009,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600010,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600011,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600012,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600013,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600014,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600015,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600016,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600017,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600018,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600020,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600021,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600022,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640943,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640931,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640945,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640942,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640946,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640944,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600051,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600061,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640801,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600052,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600062,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640802,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600053,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600063,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640803,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600054,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640804,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600055,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640805,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600056,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640806,–kŠC“¹,ŽD–yŽs’†‰›‹æ
600057,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640807,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640808,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640809,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640810,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640811,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640912,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640913,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640914,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640915,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640916,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640917,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640918,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640919,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640920,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640921,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640922,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640923,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640924,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640925,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640926,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640927,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640928,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640929,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640930,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640959,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640958,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640951,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640952,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640953,–kŠC“¹,ŽD–yŽs’†‰›‹æ
640954,–kŠC“¹,ŽD–yŽs’†‰›‹æ
10000,–kŠC“¹,ŽD–yŽs–k‹æ
